Date,Event Name,Venue,Location
2016-06-28,Beck @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2016-06-11,Baptiste Trotignon @ Sunset/Sunside,Sunset/Sunside,"Paris, France"
2016-06-05,Bruce Springsteen @ Wembley Stadium,Wembley Stadium,"London, UK"
2016-06-01,Radiohead @ Théâtres Romains de Fourvière,Théâtres Romains de Fourvière,"Lyon, France"
2016-05-23,FEWS @ Rough Trade East London,Rough Trade East London,"London, UK"
2016-05-21,Songhoy Blues @ Roundhouse,Roundhouse,"London, UK"
2016-05-18,Postiljonen @ The Shacklewell Arms,The Shacklewell Arms,"London, UK"
2016-05-12,Metz @ Hackney Church,Hackney Church,"London, UK"
2016-05-04,HÆLOS @ The Bussey Building,The Bussey Building,"London, UK"
2016-05-03,Mark Lanegan @ Union Chapel,Union Chapel,"Islington, UK"
2016-03-18,Ludovico Einaudi @ Eventim Apollo,Eventim Apollo,"London, UK"
2016-02-23,Richard Hawley @ Eventim Apollo,Eventim Apollo,"London, UK"
2016-02-13,Teeth of the Sea @ Electrowerkz,Electrowerkz,"London, UK"
2016-01-28,Cancer Bats @ The Dome,The Dome,"London, UK"
2016-01-18,Chali 2na @ Jazz Cafe,Jazz Cafe,"London, UK"
2015-12-19,Therapy? @ Electric Ballroom,Electric Ballroom,"London, UK"
2015-11-26,Simple Minds @ The O2,The O2,"London, UK"
2015-11-15,Polar Bear @ Electric Brixton,Electric Brixton,"London, UK"
2015-11-14,Kamasi Washington @ Barbican Centre,Barbican Centre,"London, UK"
2015-11-13,Hidden Orchestra @ Hackney Church,Hackney Church,"London, UK"
2015-11-09,Algiers @ The Lexington,The Lexington,"London, UK"
2015-10-28,Battles @ Electric Ballroom,Electric Ballroom,"London, UK"
2015-10-24,Squarepusher @ Troxy,Troxy,"London, UK"
2015-10-19,Girls Names @ The 100 Club,The 100 Club,"London, UK"
2015-10-14,Ride @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
